Archivo,VCE [V],IC [mA],K,|Δ|,Estable,GTmax [dB],rho_in,rho_out,Zin,Zout,Rin(s),Xin(s),Rout(s),Xout(s),Rin(p),Xin(p),Rout(p),Zo(Qwin),Zo(Qwout),Xout(p),W/H (Qwin),Zo'(Qwin),er'(Qwin),Weff (Qwin),W/H (Qwout),Zo'(Qwout),er'(Qwout),Weff (Qwout),W (Qwin),W (Qwout),lambda,lambda/4,lambda_p,lambda_p/4,Cin,Cout
BFP450_w_noise_VCE_1.0V_IC_90mA.s2p,1.0,90.0,1.107,0.695,True,12.82,(-0.6823+0.3154j),(-0.397-0.0719j),(7.4253+10.7657j),(21.3916-3.6719j),7.4253,10.7657,21.3916,-3.6719,23.0341,15.8871,22.0219,33.9368,32.7044,291.2873,3.4602,34.0537,3.5043,6.2249,3.6451,32.8121,3.5206,6.5207,5.5363,5.8322,136.3636,34.0909,72.8447,18.2112,4.553578434759114e-12,2.4835671157260036e-13
BFP450_w_noise_VCE_2.0V_IC_90mA.s2p,2.0,90.0,1.107,0.657,True,13.79,(-0.6811+0.3027j),(-0.3281-0.1454j),(7.6162+10.374j),(24.4005-8.1476j),7.6162,10.374,24.4005,-8.1476,21.7466,15.9655,27.1211,32.9747,34.9289,149.7408,3.6033,33.0844,3.5169,6.4539,3.3213,35.0531,3.4915,6.0026,5.7653,5.3141,136.3636,34.0909,72.7141,18.1785,4.53121768506226e-12,4.831225420918114e-13
BFP450_w_noise_VCE_1.0V_IC_0.10A.s2p,1.0,100.0,1.109,0.698,True,12.74,(-0.6791+0.3221j),(-0.3904-0.0629j),(7.4404+11.0198j),(21.7769-3.2455j),7.4404,11.0198,21.7769,-3.2455,23.7616,16.0434,22.2606,34.4685,32.9977,335.4947,3.3847,34.5893,3.4974,6.1041,3.5998,33.1076,3.5166,6.4482,5.4155,5.7597,136.3636,34.0909,72.9165,18.2291,4.509215998532825e-12,2.1563129298573573e-13
BFP450_w_noise_VCE_3.0V_IC_0.10A.s2p,3.0,100.0,1.105,0.642,True,14.19,(-0.6824+0.3041j),(-0.287-0.1782j),(7.5584+10.4049j),(26.2388-10.5569j),7.5584,10.4049,26.2388,-10.5569,21.8818,15.8955,30.4863,33.077,36.2207,124.2731,3.5877,33.1875,3.5156,6.4289,3.1522,36.3543,3.4754,5.7321,5.7403,5.0435,136.3636,34.0909,72.7275,18.1819,4.551172089639301e-12,5.821304526149386e-13
BFP450_w_noise_VCE_4.0V_IC_0.10A.s2p,4.0,100.0,1.103,0.631,True,14.43,(-0.6849+0.3028j),(-0.2606-0.2004j),(7.4942+10.3339j),(27.3699-12.2998j),7.4942,10.3339,27.3699,-12.2998,21.7438,15.7687,32.8973,32.9726,36.9932,111.2617,3.6036,33.0823,3.517,6.4544,3.057,37.1323,3.466,5.5798,5.7658,4.8912,136.3636,34.0909,72.7131,18.1783,4.587769185212574e-12,6.502071777697224e-13
BFP450_w_noise_VCE_2.5V_IC_0.10A.s2p,2.5,100.0,1.106,0.649,True,14.01,(-0.6806+0.3043j),(-0.3025-0.1613j),(7.6142+10.4331j),(25.6143-9.3621j),7.6142,10.4331,25.6143,-9.3621,21.9098,15.99,29.0362,33.0982,35.7871,136.798,3.5845,33.2088,3.5153,6.4237,3.2075,35.9175,3.4807,5.8206,5.7352,5.132,136.3636,34.0909,72.7306,18.1827,4.524274918753065e-12,5.288319708684448e-13
BFP450_w_noise_VCE_2.0V_IC_0.10A.s2p,2.0,100.0,1.108,0.659,True,13.77,(-0.6778+0.3078j),(-0.3201-0.1392j),(7.6607+10.5788j),(24.9188-7.9014j),7.6607,10.5788,24.9188,-7.9014,22.2692,16.1263,27.4242,33.3685,35.2979,157.6862,3.5437,33.4811,3.5117,6.3585,3.2717,35.4248,3.4868,5.9232,5.6699,5.2347,136.3636,34.0909,72.7679,18.192,4.486035603384627e-12,4.587792460650425e-13
BFP450_w_noise_VCE_4.0V_IC_0.11A.s2p,4.0,110.0,1.103,0.632,True,14.41,(-0.6832+0.3049j),(-0.2542-0.1952j),(7.5219+10.4202j),(27.8477-12.1181j),7.5219,10.4202,27.8477,-12.1181,21.9572,15.8499,33.121,33.1339,37.3147,114.9014,3.5791,33.2448,3.5148,6.415,3.0186,37.4561,3.4621,5.5183,5.7266,4.8298,136.3636,34.0909,72.7358,18.184,4.564265765138046e-12,6.296107440889451e-13
BFP450_w_noise_VCE_1.0V_IC_0.11A.s2p,1.0,110.0,1.112,0.699,True,12.63,(-0.6777+0.3292j),(-0.3861-0.0554j),(7.3957+11.2628j),(22.0285-2.8805j),7.3957,11.2628,22.0285,-2.8805,24.5476,16.1192,22.4052,35.034,33.1877,382.3723,3.307,35.1589,3.4902,5.9798,3.5709,33.299,3.5141,6.402,5.2912,5.7134,136.3636,34.0909,72.9917,18.2479,4.488011560800878e-12,1.891955979835922e-13
BFP450_w_noise_VCE_3.0V_IC_0.11A.s2p,3.0,110.0,1.105,0.643,True,14.17,(-0.6807+0.3085j),(-0.2787-0.1736j),(7.559+10.5645j),(26.787-10.4256j),7.559,10.5645,26.787,-10.4256,22.324,15.973,30.8447,33.4096,36.5971,128.4672,3.5376,33.5225,3.5112,6.3487,3.1053,36.7334,3.4708,5.657,5.6602,4.9685,136.3636,34.0909,72.7731,18.1933,4.529090086449728e-12,5.631254977991388e-13
BFP450_w_noise_VCE_2.0V_IC_0.11A.s2p,2.0,110.0,1.109,0.66,True,13.75,(-0.6758+0.3114j),(-0.3141-0.1347j),(7.6826+10.7182j),(25.3061-7.7205j),7.6826,10.7182,25.3061,-7.7205,22.6358,16.2249,27.6615,33.6421,35.5711,163.8888,3.5032,33.7568,3.5081,6.2936,3.2356,35.7,3.4834,5.8656,5.6051,5.177,136.3636,34.0909,72.8052,18.2013,4.458773610368108e-12,4.414161062309415e-13
BFP450_w_noise_VCE_2.5V_IC_0.11A.s2p,2.5,110.0,1.106,0.651,True,13.99,(-0.6786+0.3096j),(-0.2948-0.158j),(7.613+10.6267j),(26.0986-9.2866j),7.613,10.6267,26.0986,-9.2866,22.4464,16.0807,29.403,33.5011,36.1238,140.5174,3.524,33.6147,3.51,6.3269,3.1645,36.2567,3.4766,5.7517,5.6384,5.0632,136.3636,34.0909,72.7855,18.1964,4.498756643110158e-12,5.148341483037795e-13
BFP450_w_noise_VCE_1.0V_IC_0.12A.s2p,1.0,120.0,1.115,0.699,True,12.48,(-0.6782+0.336j),(-0.3827-0.0483j),(7.2912+11.4702j),(22.2327-2.5206j),7.2912,11.4702,22.2327,-2.5206,25.3356,16.105,22.5185,35.5919,33.3412,441.0202,3.2329,35.7209,3.4832,5.8612,3.5478,33.4536,3.5121,6.365,5.1726,5.6765,136.3636,34.0909,73.065,18.2662,4.49196870231987e-12,1.6403592386666534e-13
BFP450_w_noise_VCE_2.0V_IC_0.12A.s2p,2.0,120.0,1.109,0.661,True,13.73,(-0.676+0.3163j),(-0.3069-0.1338j),(7.6149+10.8744j),(25.7241-7.7539j),7.6149,10.8744,25.7241,-7.7539,23.144,16.2068,28.0613,34.0176,35.8637,165.8785,3.4486,34.1351,3.5032,6.2063,3.1977,35.9947,3.4798,5.8048,5.5178,5.1163,136.3636,34.0909,72.8561,18.214,4.463753236349034e-12,4.361213535862786e-13
BFP450_w_noise_VCE_3.0V_IC_0.12A.s2p,3.0,120.0,1.105,0.644,True,14.15,(-0.6804+0.3104j),(-0.2741-0.1715j),(7.5464+10.6305j),(27.0916-10.3793j),7.5464,10.6305,27.0916,-10.3793,22.5214,15.9876,31.0681,33.557,36.8046,130.5077,3.5157,33.671,3.5092,6.3137,3.0799,36.9423,3.4683,5.6163,5.6251,4.9278,136.3636,34.0909,72.7938,18.1985,4.524954086345762e-12,5.543209783856548e-13
BFP450_w_noise_VCE_2.5V_IC_0.12A.s2p,2.5,120.0,1.108,0.651,True,13.96,(-0.6758+0.3129j),(-0.2891-0.1513j),(7.6636+10.7683j),(26.5172-8.9832j),7.6636,10.7683,26.5172,-8.9832,22.7944,16.2223,29.5604,33.7597,36.4124,147.5936,3.4859,33.8752,3.5066,6.2661,3.1282,36.5473,3.473,5.6937,5.5774,5.0051,136.3636,34.0909,72.8208,18.2052,4.4594882323013086e-12,4.901510360263691e-13
BFP450_w_noise_VCE_2.5V_IC_0.14A.s2p,2.5,140.0,1.109,0.65,True,13.9,(-0.677+0.321j),(-0.2768-0.1501j),(7.5228+11.0107j),(27.2503-9.0836j),7.5228,11.0107,27.2503,-9.0836,23.6385,16.1505,30.2782,34.3792,36.9123,149.9976,3.3972,34.4993,3.4985,6.1241,3.0668,37.0508,3.467,5.5954,5.4355,4.9069,136.3636,34.0909,72.9051,18.2263,4.479313702415499e-12,4.822954230658458e-13
BFP450_w_noise_VCE_2.0V_IC_0.14A.s2p,2.0,140.0,1.113,0.658,True,13.63,(-0.6745+0.3251j),(-0.2962-0.1279j),(7.5513+11.1724j),(26.4035-7.5378j),7.5513,11.1724,26.4035,-7.5378,24.0812,16.2762,28.5554,34.6996,36.3342,175.1405,3.3527,34.8221,3.4944,6.0528,3.138,36.4686,3.474,5.7093,5.3643,5.0208,136.3636,34.0909,72.9478,18.237,4.444720263382209e-12,4.130578361421917e-13
BFP450_w_noise_VCE_3.0V_IC_0.14A.s2p,3.0,140.0,1.109,0.643,True,14.07,(-0.6762+0.3198j),(-0.2604-0.1621j),(7.5636+10.9809j),(28.05-10.0391j),7.5636,10.9809,28.05,-10.0391,23.5058,16.1907,31.643,34.2825,37.45,139.704,3.4109,34.4019,3.4998,6.1459,3.0026,37.5923,3.4605,5.4928,5.4574,4.8042,136.3636,34.0909,72.8915,18.2229,4.468191983722848e-12,5.178316723276464e-13
BFP450_w_noise_VCE_1.0V_IC_0.14A.s2p,1.0,140.0,1.125,0.699,True,11.99,(-0.6815+0.3544j),(-0.3797-0.03j),(6.9414+12.0023j),(22.4445-1.5744j),6.9414,12.0023,22.4445,-1.5744,27.6944,16.0168,22.5549,37.2119,33.4996,712.7942,3.0308,37.3525,3.4634,5.5378,3.5242,33.6132,3.51,6.3273,4.8493,5.6387,136.3636,34.0909,73.2736,18.3184,4.516704706986509e-12,1.0149234652984201e-13
BFP450_w_noise_VCE_1.0V_IC_0.16A.s2p,1.0,160.0,1.145,0.698,True,11.12,(-0.6876+0.3797j),(-0.3844+0.0017j),(6.4008+12.6916j),(22.2344+0.0878j),6.4008,12.6916,22.2344,0.0878,31.5659,15.9197,22.2347,39.7278,33.3425,-12661.9853,2.751,39.8857,3.4341,5.0901,3.5476,33.4549,3.5121,6.3647,4.4016,5.6762,136.3636,34.0909,73.5855,18.3964,4.544253720287538e-12,-5.713413357924331e-15
BFP450_w_noise_VCE_2.0V_IC_0.16A.s2p,2.0,160.0,1.118,0.654,True,13.47,(-0.6744+0.336j),(-0.2835-0.1219j),(7.4092+11.5207j),(27.2135-7.332j),7.4092,11.5207,27.2135,-7.332,25.3229,16.2857,29.1889,35.583,36.8873,185.58,3.2341,35.7119,3.4833,5.8631,3.0698,37.0256,3.4673,5.6003,5.1746,4.9117,136.3636,34.0909,73.0639,18.266,4.44212750762089e-12,3.898219417548309e-13
BFP450_w_noise_VCE_2.5V_IC_0.16A.s2p,2.5,160.0,1.116,0.645,True,13.77,(-0.6746+0.3303j),(-0.2643-0.1415j),(7.4804+11.3368j),(28.1147-8.7445j),7.4804,11.3368,28.1147,-8.7445,24.6617,16.2726,30.8345,35.1153,37.4931,160.7562,3.2961,35.2408,3.4891,5.9623,2.9976,37.6357,3.46,5.4847,5.2738,4.7962,136.3636,34.0909,73.0032,18.2508,4.445703572315519e-12,4.500178279336132e-13
BFP450_w_noise_VCE_2.5V_IC_0.18A.s2p,2.5,180.0,1.123,0.638,True,13.58,(-0.6762+0.3413j),(-0.254-0.138j),(7.2848+11.6628j),(28.7922-8.6692j),7.2848,11.6628,28.7922,-8.6692,25.9567,16.213,31.4025,36.0255,37.9422,166.0604,3.177,36.1577,3.4778,5.7717,2.9456,38.088,3.4547,5.4015,5.0832,4.713,136.3636,34.0909,73.1217,18.2804,4.462046256143929e-12,4.3564363298451366e-13
BFP450_w_noise_VCE_1.0V_IC_0.18A.s2p,1.0,180.0,1.176,0.702,True,9.87,(-0.6948+0.4086j),(-0.4+0.0495j),(5.7631+13.4439j),(21.3402+2.5217j),5.7631,13.4439,21.3402,2.5217,37.1244,15.9144,21.6382,43.0839,32.6651,-423.1307,2.4309,43.2628,3.3977,4.578,3.6512,32.7725,3.5211,6.5305,3.8894,5.8419,136.3636,34.0909,73.9786,18.4946,4.54576710091876e-12,-1.709711820741476e-13
BFP450_w_noise_VCE_2.0V_IC_0.18A.s2p,2.0,180.0,1.128,0.645,True,13.21,(-0.6774+0.3477j),(-0.2741-0.1154j),(7.1602+11.8501j),(27.8474-7.0531j),7.1602,11.8501,27.8474,-7.0531,26.7721,16.1765,29.6338,36.5869,37.3145,197.4128,3.1066,36.7231,3.4709,5.6591,3.0186,37.4559,3.4621,5.5183,4.9706,4.8298,136.3636,34.0909,73.1943,18.2986,4.472114236754645e-12,3.6645625790658715e-13
BFP450_w_noise_VCE_2.0V_IC_0.20A.s2p,2.0,200.0,1.144,0.634,True,12.78,(-0.6805+0.3652j),(-0.2637-0.1042j),(6.8213+12.3486j),(28.5957-6.4831j),6.8213,12.3486,28.5957,-6.4831,29.176,16.1166,30.0655,38.1942,37.8125,220.5404,2.917,38.3417,3.4518,5.3557,2.9605,37.9573,3.4562,5.4253,4.6672,4.7368,136.3636,34.0909,73.3966,18.3491,4.4887355863433684e-12,3.2802677400993884e-13
BFP450_w_noise_VCE_1.0V_IC_0.20A.s2p,1.0,200.0,1.21,0.712,True,8.49,(-0.7043+0.431j),(-0.4283+0.0994j),(5.1471+13.9457j),(19.6746+4.8505j),5.1471,13.9457,19.6746,4.8505,42.932,15.8454,20.8704,46.3314,31.3645,-202.8104,2.1675,46.5275,3.3649,4.1566,3.8632,31.4622,3.5389,6.8697,3.468,6.1811,136.3636,34.0909,74.3383,18.5846,4.565561989653875e-12,-3.5670338380507864e-13
